"fit","lwr","upr","fcastday","Date"
7636,2429,24005,2020-03-22,2020-04-06
10621,3190,35366,2020-03-22,2020-04-07
14774,4188,52107,2020-03-22,2020-04-09
20549,5500,76776,2020-03-22,2020-04-10
28582,7221,113128,2020-03-22,2020-04-11
39756,9481,166698,2020-03-22,2020-04-12
55297,12448,245642,2020-03-22,2020-04-13
76914,16342,361984,2020-03-22,2020-04-14
106982,21455,533440,2020-03-22,2020-04-15
148803,28166,786126,2020-03-22,2020-04-16
206973,36976,1158531,2020-03-22,2020-04-17
287883,48540,1707383,2020-03-22,2020-04-18
400422,63719,2516295,2020-03-22,2020-04-19
556955,83645,3708504,2020-03-22,2020-04-20
774679,109800,5465651,2020-03-22,2020-04-21
1077516,144131,8055464,2020-03-22,2020-04-22
1498738,189194,11872555,2020-03-22,2020-04-23
2084624,248343,17498566,2020-03-22,2020-04-24
2899543,325982,25790809,2020-03-22,2020-04-25
4033030,427889,38012933,2020-03-22,2020-04-26
5609618,561649,56027523,2020-03-22,2020-04-27
7802525,737217,82579988,2020-03-22,2020-04-28
10852681,967660,121717023,2020-03-22,2020-04-29
15095201,1270126,179403421,2020-03-22,2020-04-30
20996203,1667127,264431272,2020-03-22,2020-05-01
29204020,2188204,389760140,2020-03-22,2020-05-02
40620428,2872133,574492522,2020-03-22,2020-05-03
56499727,3769807,846785740,2020-03-22,2020-05-04
1,1,1,2020-03-23,2020-03-12
2,2,2,2020-03-23,2020-03-13
6,6,6,2020-03-23,2020-03-14
6,6,6,2020-03-23,2020-03-15
7,7,7,2020-03-23,2020-03-16
8,8,8,2020-03-23,2020-03-17
16,16,16,2020-03-23,2020-03-18
20,20,20,2020-03-23,2020-03-19
26,26,26,2020-03-23,2020-03-20
44,44,44,2020-03-23,2020-03-21
52,52,52,2020-03-23,2020-03-22
66,66,66,2020-03-23,2020-03-23
91,68,120,2020-03-23,2020-03-24
122,89,169,2020-03-23,2020-03-25
166,115,239,2020-03-23,2020-03-26
224,149,337,2020-03-23,2020-03-27
303,193,475,2020-03-23,2020-03-28
409,250,671,2020-03-23,2020-03-29
553,323,947,2020-03-23,2020-03-30
747,418,1337,2020-03-23,2020-03-31
1010,540,1888,2020-03-23,2020-04-01
1365,698,2667,2020-03-23,2020-04-02
1844,902,3768,2020-03-23,2020-04-03
2491,1166,5323,2020-03-23,2020-04-04
3366,1507,7521,2020-03-23,2020-04-05
4548,1947,10627,2020-03-23,2020-04-06
6145,2515,15016,2020-03-23,2020-04-07
8303,3249,21218,2020-03-23,2020-04-09
11218,4197,29984,2020-03-23,2020-04-10
15156,5421,42373,2020-03-23,2020-04-11
20478,7002,59883,2020-03-23,2020-04-12
27667,9044,84630,2020-03-23,2020-04-13
37380,11682,119607,2020-03-23,2020-04-14
50503,15088,169044,2020-03-23,2020-04-15
68233,19487,238920,2020-03-23,2020-04-16
92188,25167,337684,2020-03-23,2020-04-17
124553,32503,477284,2020-03-23,2020-04-18
168280,41977,674605,2020-03-23,2020-04-19
227358,54211,953514,2020-03-23,2020-04-20
307177,70011,1347752,2020-03-23,2020-04-21
415017,90413,1905012,2020-03-23,2020-04-22
560717,116761,2692710,2020-03-23,2020-04-23
757569,150785,3806145,2020-03-23,2020-04-24
1023528,194722,5380029,2020-03-23,2020-04-25
1382858,251459,7604792,2020-03-23,2020-04-26
1868338,324726,10749618,2020-03-23,2020-04-27
2524255,419338,15195030,2020-03-23,2020-04-28
3410445,541513,21478933,2020-03-23,2020-04-29
4607749,699280,30361714,2020-03-23,2020-04-30
6225390,903007,42918261,2020-03-23,2020-05-01
8410937,1166081,60668051,2020-03-23,2020-05-02
11363762,1505789,85759045,2020-03-23,2020-05-03
15353236,1944456,121227643,2020-03-23,2020-05-04
1,1,1,2020-03-24,2020-03-12
2,2,2,2020-03-24,2020-03-13
6,6,6,2020-03-24,2020-03-14
6,6,6,2020-03-24,2020-03-15
7,7,7,2020-03-24,2020-03-16
8,8,8,2020-03-24,2020-03-17
16,16,16,2020-03-24,2020-03-18
20,20,20,2020-03-24,2020-03-19
26,26,26,2020-03-24,2020-03-20
44,44,44,2020-03-24,2020-03-21
52,52,52,2020-03-24,2020-03-22
66,66,66,2020-03-24,2020-03-23
72,72,72,2020-03-24,2020-03-24
120,94,154,2020-03-24,2020-03-25
164,124,217,2020-03-24,2020-03-26
223,162,307,2020-03-24,2020-03-27
304,213,434,2020-03-24,2020-03-28
413,279,613,2020-03-24,2020-03-29
562,365,866,2020-03-24,2020-03-30
765,478,1223,2020-03-24,2020-03-31
1040,625,1729,2020-03-24,2020-04-01
1414,818,2445,2020-03-24,2020-04-02
1924,1071,3456,2020-03-24,2020-04-03
2616,1401,4887,2020-03-24,2020-04-04
3558,1832,6911,2020-03-24,2020-04-05
4839,2396,9773,2020-03-24,2020-04-06
6581,3134,13821,2020-03-24,2020-04-07
8950,4098,19547,2020-03-24,2020-04-09
12172,5359,27646,2020-03-24,2020-04-10
16553,7007,39102,2020-03-24,2020-04-11
22511,9162,55307,2020-03-24,2020-04-12
30614,11980,78231,2020-03-24,2020-04-13
41633,15663,110658,2020-03-24,2020-04-14
56618,20479,156530,2020-03-24,2020-04-15
76996,26774,221422,2020-03-24,2020-04-16
104710,35004,313222,2020-03-24,2020-04-17
142398,45763,443088,2020-03-24,2020-04-18
193652,59829,626807,2020-03-24,2020-04-19
263353,78216,886712,2020-03-24,2020-04-20
358143,102253,1254401,2020-03-24,2020-04-21
487049,133675,1774577,2020-03-24,2020-04-22
662353,174752,2510482,2020-03-24,2020-04-23
900755,228449,3551594,2020-03-24,2020-04-24
1224964,298644,5024501,2020-03-24,2020-04-25
1665866,390404,7108298,2020-03-24,2020-04-26
2265462,510355,10056370,2020-03-24,2020-04-27
3080872,667156,14227203,2020-03-24,2020-04-28
4189772,872128,20127984,2020-03-24,2020-04-29
5697799,1140068,28476284,2020-03-24,2020-04-30
7748611,1490319,40287328,2020-03-24,2020-05-01
10537572,1948164,56997472,2020-03-24,2020-05-02
14330367,2546654,80638893,2020-03-24,2020-05-03
19488304,3328992,114086758,2020-03-24,2020-05-04
1,1,1,2020-03-25,2020-03-12
2,2,2,2020-03-25,2020-03-13
6,6,6,2020-03-25,2020-03-14
6,6,6,2020-03-25,2020-03-15
7,7,7,2020-03-25,2020-03-16
8,8,8,2020-03-25,2020-03-17
16,16,16,2020-03-25,2020-03-18
20,20,20,2020-03-25,2020-03-19
26,26,26,2020-03-25,2020-03-20
44,44,44,2020-03-25,2020-03-21
52,52,52,2020-03-25,2020-03-22
66,66,66,2020-03-25,2020-03-23
72,72,72,2020-03-25,2020-03-24
86,86,86,2020-03-25,2020-03-25
146,109,195,2020-03-25,2020-03-26
196,140,273,2020-03-25,2020-03-27
263,180,383,2020-03-25,2020-03-28
352,231,537,2020-03-25,2020-03-29
473,296,753,2020-03-25,2020-03-30
634,380,1057,2020-03-25,2020-03-31
851,487,1484,2020-03-25,2020-04-01
1141,625,2083,2020-03-25,2020-04-02
1530,800,2925,2020-03-25,2020-04-03
2053,1025,4108,2020-03-25,2020-04-04
2753,1314,5770,2020-03-25,2020-04-05
3693,1682,8105,2020-03-25,2020-04-06
4953,2154,11385,2020-03-25,2020-04-07
6642,2759,15993,2020-03-25,2020-04-09
8909,3532,22469,2020-03-25,2020-04-10
11948,4522,31567,2020-03-25,2020-04-11
16025,5790,44352,2020-03-25,2020-04-12
21493,7412,62318,2020-03-25,2020-04-13
28825,9489,87563,2020-03-25,2020-04-14
38660,12147,123040,2020-03-25,2020-04-15
51850,15549,172893,2020-03-25,2020-04-16
69539,19904,242952,2020-03-25,2020-04-17
93264,25477,341407,2020-03-25,2020-04-18
125083,32611,479769,2020-03-25,2020-04-19
167758,41741,674215,2020-03-25,2020-04-20
224992,53427,947483,2020-03-25,2020-04-21
301753,68384,1331528,2020-03-25,2020-04-22
404703,87526,1871262,2020-03-25,2020-04-23
542775,112025,2629806,2020-03-25,2020-04-24
727954,143380,3695874,2020-03-25,2020-04-25
976309,183510,5194152,2020-03-25,2020-04-26
1309397,234869,7299883,2020-03-25,2020-04-27
1756124,300600,10259367,2020-03-25,2020-04-28
2355260,384724,14418776,2020-03-25,2020-04-29
3158804,492386,20264652,2020-03-25,2020-04-30
4236493,630173,28480828,2020-03-25,2020-05-01
5681856,806514,40028431,2020-03-25,2020-05-02
7620334,1032193,56258335,2020-03-25,2020-05-03
10220162,1321016,79069201,2020-03-25,2020-05-04
1,1,1,2020-03-26,2020-03-12
2,2,2,2020-03-26,2020-03-13
6,6,6,2020-03-26,2020-03-14
6,6,6,2020-03-26,2020-03-15
7,7,7,2020-03-26,2020-03-16
8,8,8,2020-03-26,2020-03-17
16,16,16,2020-03-26,2020-03-18
20,20,20,2020-03-26,2020-03-19
26,26,26,2020-03-26,2020-03-20
44,44,44,2020-03-26,2020-03-21
52,52,52,2020-03-26,2020-03-22
66,66,66,2020-03-26,2020-03-23
72,72,72,2020-03-26,2020-03-24
86,86,86,2020-03-26,2020-03-25
95,95,95,2020-03-26,2020-03-26
160,114,224,2020-03-26,2020-03-27
208,142,306,2020-03-26,2020-03-28
271,176,419,2020-03-26,2020-03-29
353,217,573,2020-03-26,2020-03-30
459,269,785,2020-03-26,2020-03-31
598,332,1076,2020-03-26,2020-04-01
778,410,1475,2020-03-26,2020-04-02
1012,506,2022,2020-03-26,2020-04-03
1317,625,2773,2020-03-26,2020-04-04
1713,771,3804,2020-03-26,2020-04-05
2229,952,5218,2020-03-26,2020-04-06
2899,1174,7159,2020-03-26,2020-04-07
3772,1448,9823,2020-03-26,2020-04-09
4907,1787,13478,2020-03-26,2020-04-10
6384,2204,18495,2020-03-26,2020-04-11
8306,2718,25381,2020-03-26,2020-04-12
10806,3352,34833,2020-03-26,2020-04-13
14057,4133,47806,2020-03-26,2020-04-14
18288,5097,65614,2020-03-26,2020-04-15
23792,6285,90058,2020-03-26,2020-04-16
30951,7750,123612,2020-03-26,2020-04-17
40266,9555,169672,2020-03-26,2020-04-18
52383,11782,232899,2020-03-26,2020-04-19
68148,14526,319696,2020-03-26,2020-04-20
88656,17910,438847,2020-03-26,2020-04-21
115335,22081,602417,2020-03-26,2020-04-22
150044,27223,826966,2020-03-26,2020-04-23
195197,33563,1135231,2020-03-26,2020-04-24
253939,41378,1558427,2020-03-26,2020-04-25
330358,51012,2139408,2020-03-26,2020-04-26
429774,62889,2937011,2020-03-26,2020-04-27
559108,77529,4032012,2020-03-26,2020-04-28
727362,95578,5535310,2020-03-26,2020-04-29
946251,117827,7599162,2020-03-26,2020-04-30
1231010,145254,10432607,2020-03-26,2020-05-01
1601463,179065,14322640,2020-03-26,2020-05-02
2083398,220743,19663291,2020-03-26,2020-05-03
2710363,272121,26995540,2020-03-26,2020-05-04
1,1,1,2020-03-27,2020-03-12
2,2,2,2020-03-27,2020-03-13
6,6,6,2020-03-27,2020-03-14
6,6,6,2020-03-27,2020-03-15
7,7,7,2020-03-27,2020-03-16
8,8,8,2020-03-27,2020-03-17
16,16,16,2020-03-27,2020-03-18
20,20,20,2020-03-27,2020-03-19
26,26,26,2020-03-27,2020-03-20
44,44,44,2020-03-27,2020-03-21
52,52,52,2020-03-27,2020-03-22
66,66,66,2020-03-27,2020-03-23
72,72,72,2020-03-27,2020-03-24
86,86,86,2020-03-27,2020-03-25
95,95,95,2020-03-27,2020-03-26
104,104,104,2020-03-27,2020-03-27
159,122,206,2020-03-27,2020-03-28
197,146,266,2020-03-27,2020-03-29
244,174,343,2020-03-27,2020-03-30
303,207,443,2020-03-27,2020-03-31
375,247,571,2020-03-27,2020-04-01
465,294,738,2020-03-27,2020-04-02
577,349,953,2020-03-27,2020-04-03
716,416,1231,2020-03-27,2020-04-04
887,495,1591,2020-03-27,2020-04-05
1100,588,2055,2020-03-27,2020-04-06
1364,700,2656,2020-03-27,2020-04-07
1691,832,3433,2020-03-27,2020-04-09
2096,990,4437,2020-03-27,2020-04-10
2598,1177,5735,2020-03-27,2020-04-11
3221,1400,7413,2020-03-27,2020-04-12
3993,1664,9583,2020-03-27,2020-04-13
4951,1978,12388,2020-03-27,2020-04-14
6137,2352,16015,2020-03-27,2020-04-15
7608,2796,20704,2020-03-27,2020-04-16
9432,3323,26767,2020-03-27,2020-04-17
11693,3950,34607,2020-03-27,2020-04-18
14495,4696,44743,2020-03-27,2020-04-19
17970,5582,57848,2020-03-27,2020-04-20
22277,6635,74794,2020-03-27,2020-04-21
27616,7886,96705,2020-03-27,2020-04-22
34235,9373,125037,2020-03-27,2020-04-23
42440,11141,161672,2020-03-27,2020-04-24
52613,13241,209041,2020-03-27,2020-04-25
65223,15738,270293,2020-03-27,2020-04-26
80855,18705,349496,2020-03-27,2020-04-27
100234,22232,451911,2020-03-27,2020-04-28
124258,26423,584341,2020-03-27,2020-04-29
154040,31404,755585,2020-03-27,2020-04-30
190960,37323,977019,2020-03-27,2020-05-01
236729,44358,1263355,2020-03-27,2020-05-02
293467,52719,1633616,2020-03-27,2020-05-03
363804,62655,2112404,2020-03-27,2020-05-04
1,1,1,2020-03-28,2020-03-12
2,2,2,2020-03-28,2020-03-13
6,6,6,2020-03-28,2020-03-14
6,6,6,2020-03-28,2020-03-15
7,7,7,2020-03-28,2020-03-16
8,8,8,2020-03-28,2020-03-17
16,16,16,2020-03-28,2020-03-18
20,20,20,2020-03-28,2020-03-19
26,26,26,2020-03-28,2020-03-20
44,44,44,2020-03-28,2020-03-21
52,52,52,2020-03-28,2020-03-22
66,66,66,2020-03-28,2020-03-23
72,72,72,2020-03-28,2020-03-24
86,86,86,2020-03-28,2020-03-25
95,95,95,2020-03-28,2020-03-26
104,104,104,2020-03-28,2020-03-27
134,134,134,2020-03-28,2020-03-28
177,138,226,2020-03-28,2020-03-29
215,161,286,2020-03-28,2020-03-30
261,189,360,2020-03-28,2020-03-31
318,222,455,2020-03-28,2020-04-01
387,260,575,2020-03-28,2020-04-02
470,304,727,2020-03-28,2020-04-03
572,356,919,2020-03-28,2020-04-04
695,416,1162,2020-03-28,2020-04-05
846,487,1469,2020-03-28,2020-04-06
1028,569,1858,2020-03-28,2020-04-07
1251,665,2350,2020-03-28,2020-04-09
1521,778,2973,2020-03-28,2020-04-10
1850,910,3760,2020-03-28,2020-04-11
2249,1063,4757,2020-03-28,2020-04-12
2735,1243,6018,2020-03-28,2020-04-13
3326,1453,7613,2020-03-28,2020-04-14
4044,1698,9632,2020-03-28,2020-04-15
4918,1985,12187,2020-03-28,2020-04-16
5980,2319,15419,2020-03-28,2020-04-17
7272,2711,19509,2020-03-28,2020-04-18
8843,3168,24685,2020-03-28,2020-04-19
10753,3702,31234,2020-03-28,2020-04-20
13076,4326,39522,2020-03-28,2020-04-21
15900,5055,50010,2020-03-28,2020-04-22
19335,5907,63282,2020-03-28,2020-04-23
23511,6903,80076,2020-03-28,2020-04-24
28590,8066,101329,2020-03-28,2020-04-25
34765,9425,128224,2020-03-28,2020-04-26
42274,11014,162260,2020-03-28,2020-04-27
51405,12869,205331,2020-03-28,2020-04-28
62509,15037,259837,2020-03-28,2020-04-29
76010,17571,328814,2020-03-28,2020-04-30
92428,20530,416105,2020-03-28,2020-05-01
112392,23989,526573,2020-03-28,2020-05-02
136668,28029,666371,2020-03-28,2020-05-03
166188,32751,843289,2020-03-28,2020-05-04
1,1,1,2020-03-29,2020-03-12
2,2,2,2020-03-29,2020-03-13
6,6,6,2020-03-29,2020-03-14
6,6,6,2020-03-29,2020-03-15
7,7,7,2020-03-29,2020-03-16
8,8,8,2020-03-29,2020-03-17
16,16,16,2020-03-29,2020-03-18
20,20,20,2020-03-29,2020-03-19
26,26,26,2020-03-29,2020-03-20
44,44,44,2020-03-29,2020-03-21
52,52,52,2020-03-29,2020-03-22
66,66,66,2020-03-29,2020-03-23
72,72,72,2020-03-29,2020-03-24
86,86,86,2020-03-29,2020-03-25
95,95,95,2020-03-29,2020-03-26
104,104,104,2020-03-29,2020-03-27
134,134,134,2020-03-29,2020-03-28
156,156,156,2020-03-29,2020-03-29
192,158,234,2020-03-29,2020-03-30
229,183,286,2020-03-29,2020-03-31
272,211,351,2020-03-29,2020-04-01
324,244,430,2020-03-29,2020-04-02
386,282,528,2020-03-29,2020-04-03
459,325,647,2020-03-29,2020-04-04
546,375,794,2020-03-29,2020-04-05
650,433,974,2020-03-29,2020-04-06
773,500,1195,2020-03-29,2020-04-07
920,577,1466,2020-03-29,2020-04-09
1094,665,1799,2020-03-29,2020-04-10
1302,767,2208,2020-03-29,2020-04-11
1549,885,2710,2020-03-29,2020-04-12
1842,1020,3326,2020-03-29,2020-04-13
2192,1177,4083,2020-03-29,2020-04-14
2608,1357,5012,2020-03-29,2020-04-15
3103,1565,6152,2020-03-29,2020-04-16
3691,1804,7551,2020-03-29,2020-04-17
4391,2080,9269,2020-03-29,2020-04-18
5225,2399,11378,2020-03-29,2020-04-19
6216,2766,13968,2020-03-29,2020-04-20
7395,3189,17147,2020-03-29,2020-04-21
8797,3677,21049,2020-03-29,2020-04-22
10466,4239,25840,2020-03-29,2020-04-23
12451,4887,31722,2020-03-29,2020-04-24
14813,5634,38943,2020-03-29,2020-04-25
17623,6496,47809,2020-03-29,2020-04-26
20966,7489,58693,2020-03-29,2020-04-27
24943,8634,72055,2020-03-29,2020-04-28
29674,9954,88460,2020-03-29,2020-04-29
35302,11475,108601,2020-03-29,2020-04-30
41998,13229,133328,2020-03-29,2020-05-01
49964,15251,163686,2020-03-29,2020-05-02
59442,17582,200958,2020-03-29,2020-05-03
70716,20269,246717,2020-03-29,2020-05-04
1,1,1,2020-03-30,2020-03-12
2,2,2,2020-03-30,2020-03-13
6,6,6,2020-03-30,2020-03-14
6,6,6,2020-03-30,2020-03-15
7,7,7,2020-03-30,2020-03-16
8,8,8,2020-03-30,2020-03-17
16,16,16,2020-03-30,2020-03-18
20,20,20,2020-03-30,2020-03-19
26,26,26,2020-03-30,2020-03-20
44,44,44,2020-03-30,2020-03-21
52,52,52,2020-03-30,2020-03-22
66,66,66,2020-03-30,2020-03-23
72,72,72,2020-03-30,2020-03-24
86,86,86,2020-03-30,2020-03-25
95,95,95,2020-03-30,2020-03-26
104,104,104,2020-03-30,2020-03-27
134,134,134,2020-03-30,2020-03-28
156,156,156,2020-03-30,2020-03-29
176,176,176,2020-03-30,2020-03-30
205,192,220,2020-03-30,2020-03-31
239,221,259,2020-03-30,2020-04-01
278,254,304,2020-03-30,2020-04-02
323,293,357,2020-03-30,2020-04-03
376,337,420,2020-03-30,2020-04-04
438,388,494,2020-03-30,2020-04-05
509,446,580,2020-03-30,2020-04-06
592,514,682,2020-03-30,2020-04-07
689,591,802,2020-03-30,2020-04-09
801,680,943,2020-03-30,2020-04-10
932,782,1109,2020-03-30,2020-04-11
1083,900,1304,2020-03-30,2020-04-12
1260,1035,1534,2020-03-30,2020-04-13
1465,1191,1803,2020-03-30,2020-04-14
1704,1370,2120,2020-03-30,2020-04-15
1982,1576,2493,2020-03-30,2020-04-16
2305,1813,2931,2020-03-30,2020-04-17
2681,2085,3447,2020-03-30,2020-04-18
3118,2399,4053,2020-03-30,2020-04-19
3626,2759,4766,2020-03-30,2020-04-20
4217,3174,5604,2020-03-30,2020-04-21
4905,3651,6589,2020-03-30,2020-04-22
5704,4199,7748,2020-03-30,2020-04-23
6634,4830,9110,2020-03-30,2020-04-24
7715,5556,10713,2020-03-30,2020-04-25
8972,6390,12597,2020-03-30,2020-04-26
10434,7350,14812,2020-03-30,2020-04-27
12135,8455,17417,2020-03-30,2020-04-28
14113,9725,20480,2020-03-30,2020-04-29
16412,11185,24082,2020-03-30,2020-04-30
19087,12865,28318,2020-03-30,2020-05-01
22198,14798,33298,2020-03-30,2020-05-02
25815,17020,39155,2020-03-30,2020-05-03
30023,19577,46041,2020-03-30,2020-05-04
1,1,1,2020-03-31,2020-03-12
2,2,2,2020-03-31,2020-03-13
6,6,6,2020-03-31,2020-03-14
6,6,6,2020-03-31,2020-03-15
7,7,7,2020-03-31,2020-03-16
8,8,8,2020-03-31,2020-03-17
16,16,16,2020-03-31,2020-03-18
20,20,20,2020-03-31,2020-03-19
26,26,26,2020-03-31,2020-03-20
44,44,44,2020-03-31,2020-03-21
52,52,52,2020-03-31,2020-03-22
66,66,66,2020-03-31,2020-03-23
72,72,72,2020-03-31,2020-03-24
86,86,86,2020-03-31,2020-03-25
95,95,95,2020-03-31,2020-03-26
104,104,104,2020-03-31,2020-03-27
134,134,134,2020-03-31,2020-03-28
156,156,156,2020-03-31,2020-03-29
176,176,176,2020-03-31,2020-03-30
184,184,184,2020-03-31,2020-03-31
226,209,245,2020-03-31,2020-04-01
261,238,286,2020-03-31,2020-04-02
301,272,334,2020-03-31,2020-04-03
348,310,390,2020-03-31,2020-04-04
401,353,455,2020-03-31,2020-04-05
462,402,532,2020-03-31,2020-04-06
533,458,621,2020-03-31,2020-04-07
615,522,725,2020-03-31,2020-04-09
709,594,847,2020-03-31,2020-04-10
818,677,989,2020-03-31,2020-04-11
944,771,1155,2020-03-31,2020-04-12
1088,878,1349,2020-03-31,2020-04-13
1255,1000,1575,2020-03-31,2020-04-14
1448,1139,1840,2020-03-31,2020-04-15
1670,1297,2149,2020-03-31,2020-04-16
1926,1477,2510,2020-03-31,2020-04-17
2221,1682,2932,2020-03-31,2020-04-18
2561,1915,3425,2020-03-31,2020-04-19
2954,2181,4000,2020-03-31,2020-04-20
3406,2484,4672,2020-03-31,2020-04-21
3929,2828,5457,2020-03-31,2020-04-22
4531,3220,6374,2020-03-31,2020-04-23
5225,3667,7445,2020-03-31,2020-04-24
6026,4176,8696,2020-03-31,2020-04-25
6949,4754,10158,2020-03-31,2020-04-26
8015,5414,11865,2020-03-31,2020-04-27
9243,6164,13858,2020-03-31,2020-04-28
10659,7019,16187,2020-03-31,2020-04-29
12293,7992,18908,2020-03-31,2020-04-30
14177,9100,22086,2020-03-31,2020-05-01
16349,10362,25797,2020-03-31,2020-05-02
18855,11798,30133,2020-03-31,2020-05-03
21745,13433,35197,2020-03-31,2020-05-04
1,1,1,2020-04-01,2020-03-12
2,2,2,2020-04-01,2020-03-13
6,6,6,2020-04-01,2020-03-14
6,6,6,2020-04-01,2020-03-15
7,7,7,2020-04-01,2020-03-16
8,8,8,2020-04-01,2020-03-17
16,16,16,2020-04-01,2020-03-18
20,20,20,2020-04-01,2020-03-19
26,26,26,2020-04-01,2020-03-20
44,44,44,2020-04-01,2020-03-21
52,52,52,2020-04-01,2020-03-22
66,66,66,2020-04-01,2020-03-23
72,72,72,2020-04-01,2020-03-24
86,86,86,2020-04-01,2020-03-25
95,95,95,2020-04-01,2020-03-26
104,104,104,2020-04-01,2020-03-27
134,134,134,2020-04-01,2020-03-28
156,156,156,2020-04-01,2020-03-29
176,176,176,2020-04-01,2020-03-30
184,184,184,2020-04-01,2020-03-31
193,193,193,2020-04-01,2020-04-01
242,219,267,2020-04-01,2020-04-02
275,246,308,2020-04-01,2020-04-03
314,276,357,2020-04-01,2020-04-04
358,310,413,2020-04-01,2020-04-05
408,348,477,2020-04-01,2020-04-06
465,391,552,2020-04-01,2020-04-07
530,439,639,2020-04-01,2020-04-09
604,493,740,2020-04-01,2020-04-10
688,553,856,2020-04-01,2020-04-11
784,620,991,2020-04-01,2020-04-12
893,696,1147,2020-04-01,2020-04-13
1018,781,1327,2020-04-01,2020-04-14
1160,876,1537,2020-04-01,2020-04-15
1322,983,1779,2020-04-01,2020-04-16
1507,1103,2059,2020-04-01,2020-04-17
1717,1237,2383,2020-04-01,2020-04-18
1956,1388,2758,2020-04-01,2020-04-19
2229,1557,3193,2020-04-01,2020-04-20
2541,1746,3696,2020-04-01,2020-04-21
2895,1959,4279,2020-04-01,2020-04-22
3299,2197,4953,2020-04-01,2020-04-23
3759,2465,5733,2020-04-01,2020-04-24
4284,2765,6637,2020-04-01,2020-04-25
4881,3101,7683,2020-04-01,2020-04-26
5562,3479,8894,2020-04-01,2020-04-27
6338,3902,10296,2020-04-01,2020-04-28
7223,4377,11918,2020-04-01,2020-04-29
8230,4909,13797,2020-04-01,2020-04-30
9378,5507,15972,2020-04-01,2020-05-01
10687,6177,18489,2020-04-01,2020-05-02
12178,6928,21404,2020-04-01,2020-05-03
13877,7771,24778,2020-04-01,2020-05-04
1,1,1,2020-04-02,2020-03-12
